타임스탬프,학과 (단과대도 괜찮습니다!),학년  ,성별 ,나이,1. 학교에서 “밥약”을 잡는 것이 어렵다고 느낀 적이 있나요? ,2. 밥약을 잡기 어려운 가장 큰 이유는 무엇인가요? ,3. 관심사나 성향이 비슷한 사람을 자동으로 추천해주는 밥약 서비스가 있다면 사용할 의향이 있나요? ,4. 어떤 기능이 있으면 이 서비스를 사용할 것 같나요?  ,5. 밥약 매칭에서 가장 중요하다고 생각하는 요소는 무엇인가요?,6. 처음 보는 사람과 밥 먹는 것에 대한 부담감은 어느 정도인가요?  ,7. 어떤 방식의 매칭이 가장 편할 것 같나요?  ,8. 이 서비스가 있다면 기대되는 점은 무엇인가요?,  9. 반대로 걱정되는 점은 무엇인가요?  ,10. 이 서비스(아이디어)에 대한 생각이나 피드백을 자유롭게 한 줄로 평가해주세요.  ,"본 설문은 웹인터페이스설계 강의 조별 프로젝트를 위한 사용자 조사 목적으로 진행됩니다.
수집된 응답 내용은 과제 기획 및 분석 자료로만 활용되며, 프로젝트 종료 후 안전하게 폐기됩니다.
응답자는 개인정보 수집 및 이용에 동의하지 않을 권리가 있으며, 동의하지 않을 경우 설문 참여가 제한될 수 있습니다.
수집 목적: 사용자 요구 분석 및 과제 기획 
수집 항목: 설문 응답 내용 
보관 기간: 프로젝트 종료 시까지"
2026. 5. 28 오후 4:05:17,문헌정보학과,1,여자,만19세,거의 없다,먼저 연락하기 부담스러움,조금 있다,"관심사 기반 매칭, 같은 학과 / 다른 학과 추천, 선배 - 후배 매칭, 대화 주제 추천, 친구와 함께 참여 가능","관심사 (취미, 학업 등), 학과 / 단과대, 시간대 및 공강 시간, 캠퍼스 내 거리 / 위치",1,AI 추천 (알고리즘 기반 자동 매칭),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 공강 시간 심심함 해결","대화가 끊기는 등 어색할 것 같음, 빌런(이상한 사람)을 만날까 봐 걱정됨","같은학과 ONLY OPTION, 동성 ONLY옵션도 있으면 좋을 것 같다",동의함
2026. 5. 28 오후 4:20:22,문과대,1,여,20,가끔 있다,어색함,조금 있다,"같은 학과 / 다른 학과 추천, 친구와 함께 참여 가능","성격 및 성향, 학과 / 단과대",4,관심사 기반 추천 (키워드 매칭),"새로운 인간관계 확장, 학교 및 학과 정보 획득","대화가 끊기는 등 어색할 것 같음, 대화가 재미없을 것 같음",,동의함
2026. 5. 28 오후 4:24:26,문과대학,1,여자,20,자주 있다,먼저 연락하기 부담스러움,조금 있다,"관심사 기반 매칭, 선배 - 후배 매칭, 대화 주제 추천, 친구와 함께 참여 가능","성격 및 성향, 관심사 (취미, 학업 등), 학과 / 단과대",4,직접 프로필 보고 선택 (수동 매칭),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 진로 및 취업 이야기 공유","대화가 끊기는 등 어색할 것 같음, 빌런(이상한 사람)을 만날까 봐 걱정됨, 대화가 재미없을 것 같음, 개인정보 노출 문제",범죄에 ,동의함
2026. 5. 28 오후 5:43:17,문헌정보학과,1,남자,20,가끔 있다,어색함,조금 있다,"관심사 기반 매칭, 같은 학과 / 다른 학과 추천, 친구와 함께 참여 가능","성격 및 성향, 관심사 (취미, 학업 등)",3,친구 추천 방식 (지인의 지인 연결),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 다양한 네트워킹 기회","대화가 끊기는 등 어색할 것 같음, 나와 맞지 않는 사람과의 시간 낭비, 대화가 재미없을 것 같음",,동의함
2026. 5. 28 오후 6:54:45,문과대,2,여,21,거의 없다,누구랑 해야 할지 모르겠음,조금 있다,같은 학과 / 다른 학과 추천,"성격 및 성향, 관심사 (취미, 학업 등), 학과 / 단과대, 학년 (학번), 시간대 및 공강 시간, 캠퍼스 내 거리 / 위치",2,친구 추천 방식 (지인의 지인 연결),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 진로 및 취업 이야기 공유, 공강 시간 심심함 해결","빌런(이상한 사람)을 만날까 봐 걱정됨, 나와 맞지 않는 사람과의 시간 낭비, 매칭 성공률이나 정확도 부족",일회성 만남으로 끝날 가능성,동의함
2026. 5. 28 오후 7:40:17,문과대학,4학년,,,가끔 있다,어색함,별로 없다,"관심사 기반 매칭, 선배 - 후배 매칭, MBTI 기반 추천","성격 및 성향, 관심사 (취미, 학업 등)",4,관심사 기반 추천 (키워드 매칭),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 다양한 네트워킹 기회","대화가 끊기는 등 어색할 것 같음, 빌런(이상한 사람)을 만날까 봐 걱정됨, 나와 맞지 않는 사람과의 시간 낭비, 대화가 재미없을 것 같음, 매칭 성공률이나 정확도 부족",,동의함
2026. 5. 30 오후 3:39:18,생명과학과,2,남자,22,자주 있다,어색함,조금 있다,관심사 기반 매칭,"성격 및 성향, 관심사 (취미, 학업 등)",4,관심사 기반 추천 (키워드 매칭),"새로운 인간관계 확장, 다양한 네트워킹 기회","대화가 끊기는 등 어색할 것 같음, 빌런(이상한 사람)을 만날까 봐 걱정됨",,동의함
2026. 5. 30 오후 3:43:22,생명과학대학,2,,,가끔 있다,딱히 필요성을 못 느낌,보통이다,"선배 - 후배 매칭, 시간 자동 조율","성격 및 성향, 시간대 및 공강 시간",4,AI 추천 (알고리즘 기반 자동 매칭),"학교 및 학과 정보 획득, 진로 및 취업 이야기 공유, 다양한 네트워킹 기회","대화가 끊기는 등 어색할 것 같음, 나와 맞지 않는 사람과의 시간 낭비, 대화가 재미없을 것 같음, 개인정보 노출 문제",,동의함
2026. 5. 30 오후 4:51:21,생명과학부,2학년 1학기,남자,만 21,거의 없다,시간 맞추기 어려움,보통이다,시간 자동 조율,"시간대 및 공강 시간, 캠퍼스 내 거리 / 위치",3,친구 추천 방식 (지인의 지인 연결),새로운 인간관계 확장,"빌런(이상한 사람)을 만날까 봐 걱정됨, 나와 맞지 않는 사람과의 시간 낭비, 매칭 성공률이나 정확도 부족","고려대에서는 밥약이란 개념이 선배가 후배 사주는 느낌이고, 활성화가 과할 정도로 잘 돼있기 때문에 설문 하는데 있어서 조금 애매했던 부분이 꽤 있던 것 같습니다. (e.g. 학년 이슈)",동의함
2026. 5. 30 오후 6:34:07,문헌정보학과,2,여자,23,가끔 있다,시간 맞추기 어려움,보통이다,"맛집 추천 연동, 시간 자동 조율, 친구와 함께 참여 가능","관심사 (취미, 학업 등), 학년 (학번), 시간대 및 공강 시간",4,관심사 기반 추천 (키워드 매칭),"새로운 인간관계 확장, 학교 및 학과 정보 획득, 진로 및 취업 이야기 공유","대화가 끊기는 등 어색할 것 같음, 개인정보 노출 문제","하기로 한 사람들끼리 친구 추가해서 시간 맞출 수 있는 기능, 밥약 장소 추천 지도 등",동의함
